Source,Target
Practicing hygiene/handwashing,NOT My personal risk of becoming infected
People gathering,People dying or getting sick
People breathing,People dying or getting sick
People breathing,My personal risk of becoming infected
People dying or getting sick,My personal risk of becoming infected
People dying or getting sick,Me feeling sympathy
People recovering,My support of government recommendations and regulations
People recovering,NOT Me feeling sympathy
Developing a vaccine,NOT Me feeling sympathy
People losing jobs,Me feeling sympathy
Social Distancing/ Shelter in Place / Closure of non-essential businesses,People recovering
Wearing Masks,NOT My personal risk of becoming infected
