Source,Target
Practicing hygiene/handwashing,NOT People dying or getting sick
Practicing hygiene/handwashing,NOT My personal risk of becoming infected
Practicing hygiene/handwashing,NOT Me feeling contempt
Timely and reliable information,NOT People dying or getting sick
Timely and reliable information,My support of government recommendations and regulations
Timely and reliable information,NOT Me feeling contempt
People gathering,People dying or getting sick
People gathering,NOT People recovering
People gathering,My personal risk of becoming infected
People gathering,Me feeling contempt
Infected people don't know they are spreading virus,Me feeling contempt
My support of government recommendations and regulations,NOT People dying or getting sick
People recovering,NOT My personal risk of becoming infected
People recovering,NOT Me feeling contempt
People losing jobs,My support of government recommendations and regulations
People losing jobs,Me feeling contempt
Curbside carryout (restaurants,NOT People dying or getting sick
Curbside carryout (restaurants,NOT People losing jobs
Curbside carryout (restaurants,NOT My personal risk of becoming infected
Curbside carryout (restaurants,NOT Me feeling contempt
Young people not feeling at risk,People dying or getting sick
Young people not feeling at risk,My personal risk of becoming infected
Young people not feeling at risk,Me feeling contempt
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT People dying or getting sick
Social Distancing/ Shelter in Place / Closure of non-essential businesses,My support of government recommendations and regulations
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT My personal risk of becoming infected
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT Me feeling contempt
