Source,Target
People dying or getting sick,NOT Media coverage
People dying or getting sick,NOT Me feeling worry
People dying or getting sick,NOT My personal risk of becoming infected
People dying or getting sick,Social Distancing/ Shelter in Place / Closure of non-essential businesses
My support of government recommendations and regulations,Me feeling worry
My support of government recommendations and regulations,Social Distancing/ Shelter in Place / Closure of non-essential businesses
People recovering,Media coverage
People recovering,Me feeling worry
People recovering,Developing a vaccine
People recovering,Social Distancing/ Shelter in Place / Closure of non-essential businesses
Developing a vaccine,Media coverage
Developing a vaccine,People dying or getting sick
Developing a vaccine,Me feeling worry
Developing a vaccine,NOT My support of government recommendations and regulations
Returning home or to work from infected areas,NOT My support of government recommendations and regulations
Returning home or to work from infected areas,NOT My personal risk of becoming infected
Returning home or to work from infected areas,NOT Social Distancing/ Shelter in Place / Closure of non-essential businesses
My personal risk of becoming infected,NOT Me feeling worry
Young people not feeling at risk,NOT Media coverage
Young people not feeling at risk,NOT My support of government recommendations and regulations
Young people not feeling at risk,NOT Social Distancing/ Shelter in Place / Closure of non-essential businesses
Social Distancing/ Shelter in Place / Closure of non-essential businesses,Media coverage
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT Me feeling worry
Social Distancing/ Shelter in Place / Closure of non-essential businesses,My personal risk of becoming infected
