Source,Target
Poverty,NOT People losing jobs
Poverty,NOT Me feeling contempt
Practicing hygiene/handwashing,Curbside carryout (restaurants
Practicing hygiene/handwashing,People touching things
Mental health issues,NOT Me feeling worry
Mental health issues,NOT Returning home or to work from infected areas
Mental health issues,NOT Young people not feeling at risk
Mental health issues,NOT Homelessness
Timely and reliable information,Media coverage
People gathering,NOT People don't understand situation
People gathering,NOT People touching things
Government financial support for businesses,My support of government recommendations and regulations
Media coverage,Practicing hygiene/handwashing
People dying or getting sick,NOT People gathering
People dying or getting sick,NOT People touching things
Government financial support for families,My support of government recommendations and regulations
Me feeling worry,Media coverage
My support of government recommendations and regulations,Access to free healthcare for COVID-19 patients
My support of government recommendations and regulations,Social Distancing/ Shelter in Place / Closure of non-essential businesses
People recovering,COVID-19 testing
People recovering,NOT People don't understand situation
Access to free healthcare for COVID-19 patients,My support of government recommendations and regulations
Access to free healthcare for COVID-19 patients,COVID-19 testing
COVID-19 testing,NOT People dying or getting sick
People losing jobs,Government financial support for families
My personal risk of becoming infected,NOT People gathering
My personal risk of becoming infected,NOT Me feeling worry
My personal risk of becoming infected,NOT Returning home or to work from infected areas
My personal risk of becoming infected,NOT Young people not feeling at risk
Me feeling contempt,NOT Me feeling sympathy
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT Me feeling contempt
Wearing Masks,Practicing hygiene/handwashing
Homelessness,NOT Poverty
Homelessness,NOT Me feeling sympathy
People touching things,NOT My personal risk of becoming infected
