Source,Target
People gathering,People dying or getting sick
People gathering,Me feeling worry
People gathering,NOT People recovering
Infected people don't know they are spreading virus,People dying or getting sick
Infected people don't know they are spreading virus,Me feeling worry
Infected people don't know they are spreading virus,NOT People recovering
People dying or getting sick,Me feeling worry
My support of government recommendations and regulations,NOT People dying or getting sick
My support of government recommendations and regulations,NOT Me feeling worry
My support of government recommendations and regulations,People recovering
People recovering,NOT Me feeling worry
Developing a vaccine,People gathering
Developing a vaccine,NOT Infected people don't know they are spreading virus
Developing a vaccine,NOT People dying or getting sick
Developing a vaccine,NOT Me feeling worry
Developing a vaccine,People recovering
Developing a vaccine,NOT My personal risk of becoming infected
Returning home or to work from infected areas,People dying or getting sick
Returning home or to work from infected areas,Me feeling worry
Returning home or to work from infected areas,My personal risk of becoming infected
My personal risk of becoming infected,Me feeling worry
People don't understand situation,People gathering
People don't understand situation,People dying or getting sick
People don't understand situation,Me feeling worry
People don't understand situation,NOT People recovering
