Source,Target
Practicing hygiene/handwashing,NOT People dying or getting sick
Practicing hygiene/handwashing,People recovering
Practicing hygiene/handwashing,NOT My personal risk of becoming infected
Put infected people in quarantine,NOT Me feeling worry
Put infected people in quarantine,People recovering
Put infected people in quarantine,NOT My personal risk of becoming infected
Put infected people in quarantine,NOT People touching things
People dying or getting sick,Put infected people in quarantine
People dying or getting sick,Me feeling worry
People dying or getting sick,NOT My personal risk of becoming infected
My support of government recommendations and regulations,Social Distancing/ Shelter in Place / Closure of non-essential businesses
People recovering,NOT Me feeling worry
People recovering,My support of government recommendations and regulations
Access to free healthcare for COVID-19 patients,Put infected people in quarantine
Access to free healthcare for COVID-19 patients,People recovering
Developing a vaccine,NOT People dying or getting sick
Developing a vaccine,NOT Me feeling worry
Developing a vaccine,NOT My personal risk of becoming infected
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT Me feeling worry
Social Distancing/ Shelter in Place / Closure of non-essential businesses,People recovering
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT My personal risk of becoming infected
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT People touching things
People touching things,Practicing hygiene/handwashing
People touching things,People dying or getting sick
People touching things,Me feeling worry
People touching things,NOT People recovering
People touching things,My personal risk of becoming infected
