Source,Target
People breathing,NOT People dying or getting sick
People dying or getting sick,People recovering
People dying or getting sick,Wearing Masks
Government financial support for families,NOT People losing jobs
Me feeling worry,People recovering
Me feeling worry,NOT My personal risk of becoming infected
My support of government recommendations and regulations,Timely and reliable information
My support of government recommendations and regulations,Government financial support for families
My support of government recommendations and regulations,NOT Developing a vaccine
My support of government recommendations and regulations,COVID-19 testing
My support of government recommendations and regulations,NOT People losing jobs
Developing a vaccine,NOT Me feeling worry
Developing a vaccine,NOT My personal risk of becoming infected
COVID-19 testing,People dying or getting sick
My personal risk of becoming infected,Practicing hygiene/handwashing
Wearing Masks,People breathing
