Source,Target
Timely and reliable information,Practicing hygiene/handwashing
Timely and reliable information,NOT Returning home or to work from infected areas
Timely and reliable information,NOT Economic Downturn / Recession
People gathering,People dying or getting sick
Infected people don't know they are spreading virus,Returning home or to work from infected areas
Infected people don't know they are spreading virus,My personal risk of becoming infected
Put infected people in quarantine,People recovering
Put infected people in quarantine,Economic Downturn / Recession
Put infected people in quarantine,Social Distancing/ Shelter in Place / Closure of non-essential businesses
People dying or getting sick,Me feeling worry
People dying or getting sick,Economic Downturn / Recession
Me feeling worry,My support of government recommendations and regulations
Me feeling worry,Economic Downturn / Recession
My support of government recommendations and regulations,Timely and reliable information
My support of government recommendations and regulations,NOT People dying or getting sick
My support of government recommendations and regulations,People recovering
My support of government recommendations and regulations,NOT My personal risk of becoming infected
People recovering,NOT Me feeling worry
People recovering,NOT My personal risk of becoming infected
Access to free healthcare for COVID-19 patients,NOT People dying or getting sick
Access to free healthcare for COVID-19 patients,People recovering
Access to free healthcare for COVID-19 patients,COVID-19 testing
Developing a vaccine,People recovering
COVID-19 testing,NOT Infected people don't know they are spreading virus
COVID-19 testing,NOT My personal risk of becoming infected
Returning home or to work from infected areas,NOT Put infected people in quarantine
Returning home or to work from infected areas,NOT Social Distancing/ Shelter in Place / Closure of non-essential businesses
Economic Downturn / Recession,NOT COVID-19 testing
Economic Downturn / Recession,People losing jobs
My personal risk of becoming infected,Me feeling worry
Young people not feeling at risk,People gathering
Young people not feeling at risk,Infected people don't know they are spreading virus
People don't understand situation,Me feeling worry
People don't understand situation,My personal risk of becoming infected
People don't understand situation,Young people not feeling at risk
Coordinated,COVID-19 testing
Coordinated,NOT Young people not feeling at risk
Coordinated,NOT People don't understand situation
