Source,Target
Practicing hygiene/handwashing,NOT Me feeling worry
People gathering,People dying or getting sick
People breathing,My personal risk of becoming infected
Infected people don't know they are spreading virus,NOT People recovering
People dying or getting sick,Me feeling worry
Government financial support for families,My support of government recommendations and regulations
People recovering,NOT Me feeling worry
Returning home or to work from infected areas,My personal risk of becoming infected
My personal risk of becoming infected,Infected people don't know they are spreading virus
My personal risk of becoming infected,People dying or getting sick
Young people not feeling at risk,Me feeling worry
Young people not feeling at risk,My personal risk of becoming infected
Social Distancing/ Shelter in Place / Closure of non-essential businesses,My support of government recommendations and regulations
Wearing Masks,NOT People dying or getting sick
People don't understand situation,People gathering
