Source,Target
People gathering,People dying or getting sick
People gathering,Me feeling worry
People gathering,My personal risk of becoming infected
Media coverage,Me feeling worry
My support of government recommendations and regulations,NOT People dying or getting sick
My support of government recommendations and regulations,People recovering
My support of government recommendations and regulations,NOT My personal risk of becoming infected
People recovering,NOT Me feeling worry
Access to free healthcare for COVID-19 patients,NOT People dying or getting sick
Access to free healthcare for COVID-19 patients,People recovering
Access to free healthcare for COVID-19 patients,NOT My personal risk of becoming infected
Developing a vaccine,NOT People dying or getting sick
Developing a vaccine,People recovering
COVID-19 testing,NOT People dying or getting sick
COVID-19 testing,People recovering
COVID-19 testing,NOT My personal risk of becoming infected
My personal risk of becoming infected,People dying or getting sick
Young people not feeling at risk,People dying or getting sick
Young people not feeling at risk,My personal risk of becoming infected
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT People dying or getting sick
Social Distancing/ Shelter in Place / Closure of non-essential businesses,People recovering
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT My personal risk of becoming infected
Wearing Masks,NOT People dying or getting sick
Wearing Masks,People recovering
Wearing Masks,NOT My personal risk of becoming infected
Coordinated,NOT People dying or getting sick
Coordinated,My support of government recommendations and regulations
Coordinated,NOT My personal risk of becoming infected
Herd Immunity (virus cannot spread because many people are immune),People dying or getting sick
Herd Immunity (virus cannot spread because many people are immune),Me feeling worry
Herd Immunity (virus cannot spread because many people are immune),My personal risk of becoming infected
