Source,Target
Timely and reliable information,NOT Me feeling worry
Timely and reliable information,My support of government recommendations and regulations
Timely and reliable information,NOT My personal risk of becoming infected
People gathering,People dying or getting sick
People gathering,Me feeling worry
People gathering,NOT People recovering
People gathering,My personal risk of becoming infected
Government financial support for businesses,NOT Me feeling worry
Government financial support for businesses,My support of government recommendations and regulations
Put infected people in quarantine,NOT People dying or getting sick
Put infected people in quarantine,My support of government recommendations and regulations
Put infected people in quarantine,People recovering
Put infected people in quarantine,NOT My personal risk of becoming infected
People dying or getting sick,NOT My support of government recommendations and regulations
People dying or getting sick,My personal risk of becoming infected
Government financial support for families,NOT Me feeling worry
Government financial support for families,My support of government recommendations and regulations
Me feeling worry,People dying or getting sick
Me feeling worry,NOT People recovering
People recovering,My support of government recommendations and regulations
Access to free healthcare for COVID-19 patients,NOT Me feeling worry
Access to free healthcare for COVID-19 patients,My support of government recommendations and regulations
Access to free healthcare for COVID-19 patients,People recovering
Developing a vaccine,NOT People dying or getting sick
Developing a vaccine,NOT Me feeling worry
Developing a vaccine,My support of government recommendations and regulations
Developing a vaccine,People recovering
Developing a vaccine,NOT My personal risk of becoming infected
COVID-19 testing,NOT People dying or getting sick
COVID-19 testing,NOT Me feeling worry
COVID-19 testing,My support of government recommendations and regulations
COVID-19 testing,People recovering
COVID-19 testing,NOT My personal risk of becoming infected
People losing jobs,NOT Me feeling worry
Economic Downturn / Recession,NOT Me feeling worry
Economic Downturn / Recession,NOT My support of government recommendations and regulations
My personal risk of becoming infected,NOT People recovering
Wearing Masks,NOT People dying or getting sick
Wearing Masks,Me feeling worry
Wearing Masks,NOT My personal risk of becoming infected
People don't understand situation,NOT People dying or getting sick
People don't understand situation,Me feeling worry
People don't understand situation,NOT People recovering
People don't understand situation,NOT My personal risk of becoming infected
