Source,Target
Practicing hygiene/handwashing,My support of government recommendations and regulations
Practicing hygiene/handwashing,People recovering
People gathering,NOT People dying or getting sick
Infected people don't know they are spreading virus,Me feeling worry
People dying or getting sick,My personal risk of becoming infected
Government financial support for families,People losing jobs
Me feeling worry,My support of government recommendations and regulations
My support of government recommendations and regulations,People recovering
People recovering,NOT People dying or getting sick
Access to free healthcare for COVID-19 patients,COVID-19 testing
COVID-19 testing,Infected people don't know they are spreading virus
People losing jobs,Me feeling worry
Returning home or to work from infected areas,NOT People dying or getting sick
My personal risk of becoming infected,NOT My support of government recommendations and regulations
Young people not feeling at risk,NOT People gathering
Social Distancing/ Shelter in Place / Closure of non-essential businesses,My support of government recommendations and regulations
People don't understand situation,NOT My personal risk of becoming infected
