Source,Target
People breathing,My personal risk of becoming infected
Put infected people in quarantine,My personal risk of becoming infected
People dying or getting sick,Me feeling sympathy
People recovering,Me feeling sympathy
COVID-19 testing,My personal risk of becoming infected
People losing jobs,Poverty
People losing jobs,NOT My support of government recommendations and regulations
People losing jobs,Me feeling sympathy
My personal risk of becoming infected,People gathering
Social Distancing/ Shelter in Place / Closure of non-essential businesses,My support of government recommendations and regulations
Social Distancing/ Shelter in Place / Closure of non-essential businesses,My personal risk of becoming infected
