Source,Target
Poverty,My support of government recommendations and regulations
Timely and reliable information,My support of government recommendations and regulations
People breathing,People gathering
People breathing,Me feeling worry
Good hygiene,People gathering
Me feeling worry,My support of government recommendations and regulations
Me feeling worry,People recovering
Me feeling worry,My personal risk of becoming infected
Me feeling worry,Social Distancing/ Shelter in Place / Closure of non-essential businesses
My support of government recommendations and regulations,COVID-19 testing
My support of government recommendations and regulations,Returning home or to work from infected areas
My support of government recommendations and regulations,Curbside carryout (restaurants
My support of government recommendations and regulations,People affected
People recovering,My support of government recommendations and regulations
Developing a vaccine,My support of government recommendations and regulations
People losing jobs,My support of government recommendations and regulations
My personal risk of becoming infected,People breathing
My personal risk of becoming infected,Infected people don't know they are spreading virus
My personal risk of becoming infected,People recovering
My personal risk of becoming infected,People affected
My personal risk of becoming infected,Young people not feeling at risk
My personal risk of becoming infected,People touching things
