Source,Target
People gathering,NOT Coronavirus
Coronavirus,NOT People dying or getting sick
My support of government recommendations and regulations,Government financial support for businesses
People recovering,Coronavirus
Developing a vaccine,Things returning to normal
My personal risk of becoming infected,Infected people don't know they are spreading virus
Wearing Masks,Coronavirus
Me feeling sympathy,People dying or getting sick
People don't understand situation,People gathering
People don't understand situation,NOT Things returning to normal
People touching things,NOT Coronavirus
