Source,Target
Practicing hygiene/handwashing,NOT People dying or getting sick
People going to work,People dying or getting sick
People gathering,People dying or getting sick
People gathering,COVID-19 testing
People gathering,My personal risk of becoming infected
Government financial support for businesses,NOT My support of government recommendations and regulations
Media coverage,Me feeling worry
Media coverage,NOT My support of government recommendations and regulations
Media coverage,People recovering
Infected people don't know they are spreading virus,Me feeling worry
Infected people don't know they are spreading virus,My personal risk of becoming infected
People dying or getting sick,People recovering
Government financial support for families,My support of government recommendations and regulations
My support of government recommendations and regulations,Unemployment
COVID-19 testing,People recovering
Economic Downturn / Recession,Government financial support for families
Economic Downturn / Recession,Homelessness
Curbside carryout (restaurants,People dying or getting sick
Curbside carryout (restaurants,My personal risk of becoming infected
Young people not feeling at risk,My personal risk of becoming infected
Young people not feeling at risk,People touching things
Quarantine,NOT My personal risk of becoming infected
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT My personal risk of becoming infected
Social Distancing/ Shelter in Place / Closure of non-essential businesses,Quarantine
Wearing Masks,NOT My personal risk of becoming infected
Homelessness,People dying or getting sick
People touching things,People dying or getting sick
People touching things,My personal risk of becoming infected
Unemployment,Economic Downturn / Recession
