Source,Target
Number of essential workers,NOT People losing jobs
Practicing hygiene/handwashing,NOT My personal risk of becoming infected
Practicing hygiene/handwashing,NOT People touching things
Communication,Timely and reliable information
Communication,Media coverage
Timely and reliable information,NOT People dying or getting sick
Timely and reliable information,My support of government recommendations and regulations
Number of elderly patients,Crowded hospitals
Media coverage,Timely and reliable information
People dying or getting sick,NOT People recovering
People dying or getting sick,Me feeling sympathy
Government financial support for families,My support of government recommendations and regulations
My support of government recommendations and regulations,NOT My personal risk of becoming infected
Crowded hospitals,NOT People recovering
Developing a vaccine,My support of government recommendations and regulations
Developing a vaccine,Number of animals
People losing jobs,Homelessness
My personal risk of becoming infected,Me feeling sympathy
Movies related to Covid-19,Media coverage
Me feeling sympathy,NOT My support of government recommendations and regulations
People touching things,My personal risk of becoming infected
