Source,Target
Poverty,People don't understand situation
Poverty,Homelessness
Practicing hygiene/handwashing,NOT People dying or getting sick
Practicing hygiene/handwashing,NOT My personal risk of becoming infected
Timely and reliable information,My support of government recommendations and regulations
Timely and reliable information,Wearing Masks
People gathering,People dying or getting sick
People gathering,Me feeling worry
People breathing,Infected people don't know they are spreading virus
People breathing,People dying or getting sick
People breathing,My personal risk of becoming infected
Infected people don't know they are spreading virus,Me feeling worry
Infected people don't know they are spreading virus,My personal risk of becoming infected
Infected people don't know they are spreading virus,Young people not feeling at risk
Infected people don't know they are spreading virus,Wearing Masks
Put infected people in quarantine,NOT People gathering
Put infected people in quarantine,NOT Me feeling worry
Put infected people in quarantine,People recovering
Put infected people in quarantine,NOT My personal risk of becoming infected
People dying or getting sick,Put infected people in quarantine
People dying or getting sick,Me feeling worry
People dying or getting sick,My personal risk of becoming infected
Me feeling worry,My support of government recommendations and regulations
Me feeling worry,Social Distancing/ Shelter in Place / Closure of non-essential businesses
Me feeling worry,Wearing Masks
My support of government recommendations and regulations,Practicing hygiene/handwashing
My support of government recommendations and regulations,People recovering
My support of government recommendations and regulations,Wearing Masks
People recovering,NOT Me feeling worry
Developing a vaccine,NOT People dying or getting sick
Developing a vaccine,NOT My personal risk of becoming infected
Developing a vaccine,NOT Social Distancing/ Shelter in Place / Closure of non-essential businesses
COVID-19 testing,Put infected people in quarantine
COVID-19 testing,My support of government recommendations and regulations
COVID-19 testing,NOT Young people not feeling at risk
People losing jobs,Poverty
People losing jobs,Me feeling worry
People losing jobs,Economic Downturn / Recession
People losing jobs,Homelessness
Economic Downturn / Recession,Poverty
Economic Downturn / Recession,Me feeling worry
Economic Downturn / Recession,People losing jobs
Economic Downturn / Recession,Homelessness
My personal risk of becoming infected,Me feeling worry
Curbside carryout (restaurants,Me feeling worry
Young people not feeling at risk,People gathering
Young people not feeling at risk,Infected people don't know they are spreading virus
Young people not feeling at risk,People dying or getting sick
Young people not feeling at risk,Me feeling worry
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT People gathering
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT People dying or getting sick
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT Me feeling worry
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT My personal risk of becoming infected
Wearing Masks,NOT People dying or getting sick
Wearing Masks,NOT Me feeling worry
Wearing Masks,NOT My personal risk of becoming infected
People don't understand situation,People gathering
People don't understand situation,Me feeling worry
People don't understand situation,My personal risk of becoming infected
People don't understand situation,NOT Social Distancing/ Shelter in Place / Closure of non-essential businesses
People don't understand situation,Homelessness
Homelessness,Poverty
Homelessness,People don't understand situation
Coordinated,NOT People dying or getting sick
Coordinated,Economic Downturn / Recession
Coordinated,NOT My personal risk of becoming infected
Coordinated,Social Distancing/ Shelter in Place / Closure of non-essential businesses
Coordinated,Wearing Masks
Herd Immunity (virus cannot spread because many people are immune),People gathering
Herd Immunity (virus cannot spread because many people are immune),NOT People dying or getting sick
Herd Immunity (virus cannot spread because many people are immune),NOT Me feeling worry
Herd Immunity (virus cannot spread because many people are immune),NOT Economic Downturn / Recession
