Source,Target
People gathering,People dying or getting sick
People gathering,NOT My support of government recommendations and regulations
People gathering,NOT People recovering
People gathering,My personal risk of becoming infected
People breathing,Me feeling worry
Media coverage,My support of government recommendations and regulations
People dying or getting sick,Me feeling worry
My support of government recommendations and regulations,People recovering
My support of government recommendations and regulations,Social Distancing/ Shelter in Place / Closure of non-essential businesses
My support of government recommendations and regulations,Wearing Masks
People recovering,My personal risk of becoming infected
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT People gathering
Social Distancing/ Shelter in Place / Closure of non-essential businesses,Media coverage
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT People dying or getting sick
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT Me feeling worry
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT My personal risk of becoming infected
Wearing Masks,People dying or getting sick
Wearing Masks,People recovering
