Source,Target
People breathing,People dying or getting sick
People breathing,Me feeling worry
People breathing,My personal risk of becoming infected
Media coverage,Me feeling worry
Infected people don't know they are spreading virus,People dying or getting sick
Infected people don't know they are spreading virus,Me feeling worry
Infected people don't know they are spreading virus,My personal risk of becoming infected
People dying or getting sick,Me feeling worry
COVID-19 testing,Me feeling worry
COVID-19 testing,My support of government recommendations and regulations
COVID-19 testing,People recovering
My personal risk of becoming infected,Me feeling worry
Wearing Masks,Me feeling worry
Wearing Masks,My support of government recommendations and regulations
Wearing Masks,People recovering
