Source,Target
Practicing hygiene/handwashing,NOT Infected people don't know they are spreading virus
Practicing hygiene/handwashing,NOT People dying or getting sick
Practicing hygiene/handwashing,NOT My personal risk of becoming infected
People gathering,Me feeling contempt
Infected people don't know they are spreading virus,People gathering
People dying or getting sick,Me feeling worry
People dying or getting sick,Me feeling contempt
People dying or getting sick,Me feeling sympathy
Government financial support for families,My support of government recommendations and regulations
My support of government recommendations and regulations,Quarantine
People recovering,NOT People gathering
People recovering,NOT Me feeling worry
People recovering,Access to healthcare
People recovering,NOT Me feeling sympathy
Developing a vaccine,My support of government recommendations and regulations
People losing jobs,Government financial support for families
Quarantine,Mental health issues
Quarantine,Me feeling worry
Access to healthcare,People recovering
Wearing Masks,People recovering
Wearing Masks,NOT My personal risk of becoming infected
Homelessness,People dying or getting sick
Homelessness,NOT Access to healthcare
