Source,Target
Poverty,People dying or getting sick
Poverty,My personal risk of becoming infected
My support of government recommendations and regulations,People recovering
Curbside carryout (restaurants,My support of government recommendations and regulations
Curbside carryout (restaurants,Me feeling contempt
Homelessness,People dying or getting sick
Homelessness,My personal risk of becoming infected
People touching things,People dying or getting sick
People touching things,NOT My support of government recommendations and regulations
People touching things,NOT People recovering
People touching things,My personal risk of becoming infected
