Source,Target
Put infected people in quarantine,NOT People dying or getting sick
People dying or getting sick,Me feeling sympathy
Government financial support for families,People recovering
Government financial support for families,NOT Me feeling sympathy
My support of government recommendations and regulations,NOT People dying or getting sick
My support of government recommendations and regulations,People recovering
My support of government recommendations and regulations,NOT My personal risk of becoming infected
People recovering,NOT Me feeling sympathy
COVID-19 testing,People recovering
COVID-19 testing,NOT My personal risk of becoming infected
My personal risk of becoming infected,Me feeling sympathy
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT People dying or getting sick
Social Distancing/ Shelter in Place / Closure of non-essential businesses,People recovering
Social Distancing/ Shelter in Place / Closure of non-essential businesses,Me feeling sympathy
Wearing Masks,People recovering
Wearing Masks,NOT My personal risk of becoming infected
People don't understand situation,People dying or getting sick
People don't understand situation,My personal risk of becoming infected
