Source,Target
People gathering,People dying or getting sick
People gathering,NOT My support of government recommendations and regulations
People gathering,NOT People recovering
People gathering,My personal risk of becoming infected
people staying home,NOT My personal risk of becoming infected
Media coverage,people staying home
Infected people don't know they are spreading virus,people staying home
Infected people don't know they are spreading virus,My personal risk of becoming infected
People dying or getting sick,Me feeling worry
People dying or getting sick,My support of government recommendations and regulations
My support of government recommendations and regulations,Media coverage
My support of government recommendations and regulations,NOT Me feeling worry
People recovering,NOT People gathering
People recovering,NOT Me feeling worry
Returning home or to work from infected areas,Me feeling worry
Returning home or to work from infected areas,My personal risk of becoming infected
