Source,Target
Timely and reliable information,NOT Me feeling worry
Timely and reliable information,My support of government recommendations and regulations
People gathering,People dying or getting sick
People gathering,Me feeling worry
People gathering,NOT People recovering
People gathering,My personal risk of becoming infected
People dying or getting sick,Me feeling worry
People dying or getting sick,My personal risk of becoming infected
Me feeling worry,My support of government recommendations and regulations
My support of government recommendations and regulations,NOT People dying or getting sick
My support of government recommendations and regulations,NOT Me feeling worry
My support of government recommendations and regulations,NOT My personal risk of becoming infected
People recovering,NOT Me feeling worry
Access to free healthcare for COVID-19 patients,NOT People dying or getting sick
Access to free healthcare for COVID-19 patients,NOT Me feeling worry
Access to free healthcare for COVID-19 patients,People recovering
My personal risk of becoming infected,My support of government recommendations and regulations
Young people not feeling at risk,People gathering
Young people not feeling at risk,People dying or getting sick
Young people not feeling at risk,Me feeling worry
Young people not feeling at risk,NOT People recovering
Young people not feeling at risk,My personal risk of becoming infected
