Source,Target
Practicing hygiene/handwashing,NOT My personal risk of becoming infected
People dying or getting sick,Me feeling worry
People dying or getting sick,NOT People recovering
People dying or getting sick,Me feeling contempt
My support of government recommendations and regulations,Me feeling worry
My support of government recommendations and regulations,Me feeling contempt
People recovering,Me feeling sympathy
People losing jobs,Me feeling sympathy
Economic Downturn / Recession,NOT My support of government recommendations and regulations
My personal risk of becoming infected,Me feeling worry
My personal risk of becoming infected,Young people not feeling at risk
Young people not feeling at risk,Me feeling contempt
Wearing Masks,Me feeling worry
Wearing Masks,NOT My personal risk of becoming infected
Me feeling sympathy,People dying or getting sick
People don't understand situation,Me feeling worry
People don't understand situation,Me feeling contempt
People don't understand situation,Young people not feeling at risk
Coordinated,My support of government recommendations and regulations
