Source,Target
People gathering,Me feeling worry
Infected people don't know they are spreading virus,Me feeling worry
Put infected people in quarantine,People recovering
People dying or getting sick,People gathering
People dying or getting sick,Returning home or to work from infected areas
My support of government recommendations and regulations,Social Distancing/ Shelter in Place / Closure of non-essential businesses
Returning home or to work from infected areas,Me feeling worry
My personal risk of becoming infected,Infected people don't know they are spreading virus
Social Distancing/ Shelter in Place / Closure of non-essential businesses,People recovering
Wearing Masks,People recovering
People don't understand situation,Me feeling worry
People don't understand situation,My personal risk of becoming infected
