Source,Target
Infected people don't know they are spreading virus,Me feeling worry
Infected people don't know they are spreading virus,My personal risk of becoming infected
People dying or getting sick,Me feeling worry
Government financial support for families,My support of government recommendations and regulations
My support of government recommendations and regulations,NOT People dying or getting sick
My support of government recommendations and regulations,People recovering
People recovering,NOT Me feeling worry
Returning home or to work from infected areas,Me feeling worry
My personal risk of becoming infected,Me feeling worry
Wearing Masks,NOT Me feeling worry
