Source,Target
Practicing hygiene/handwashing,My support of government recommendations and regulations
Timely and reliable information,People dying or getting sick
Timely and reliable information,My support of government recommendations and regulations
Timely and reliable information,People recovering
People breathing,People dying or getting sick
Infected people don't know they are spreading virus,Me feeling worry
Infected people don't know they are spreading virus,My personal risk of becoming infected
Put infected people in quarantine,People recovering
People dying or getting sick,People recovering
Government financial support for families,People dying or getting sick
Government financial support for families,COVID-19 testing
COVID-19 testing,My support of government recommendations and regulations
People losing jobs,Me feeling worry
My personal risk of becoming infected,People dying or getting sick
My personal risk of becoming infected,Me feeling worry
Young people not feeling at risk,Me feeling worry
Young people not feeling at risk,My personal risk of becoming infected
Wearing Masks,My support of government recommendations and regulations
People don't understand situation,Me feeling worry
People don't understand situation,My personal risk of becoming infected
