Source,Target
People gathering,People dying or getting sick
Media coverage,Timely and reliable information
My support of government recommendations and regulations,Timely and reliable information
COVID-19 testing,People recovering
Returning home or to work from infected areas,My personal risk of becoming infected
My personal risk of becoming infected,NOT Me feeling sympathy
Curbside carryout (restaurants,NOT People dying or getting sick
Young people not feeling at risk,NOT People dying or getting sick
Wearing Masks,People recovering
People touching things,My personal risk of becoming infected
