Source,Target
People gathering,People dying or getting sick
People dying or getting sick,People losing jobs
People dying or getting sick,Economic Downturn / Recession
People dying or getting sick,My personal risk of becoming infected
People dying or getting sick,Me feeling sympathy
My support of government recommendations and regulations,NOT My personal risk of becoming infected
People recovering,My support of government recommendations and regulations
People recovering,NOT My personal risk of becoming infected
People recovering,NOT Me feeling sympathy
Access to free healthcare for COVID-19 patients,My support of government recommendations and regulations
Access to free healthcare for COVID-19 patients,People recovering
COVID-19 testing,My support of government recommendations and regulations
People losing jobs,Economic Downturn / Recession
Economic Downturn / Recession,People losing jobs
My personal risk of becoming infected,NOT Put infected people in quarantine
My personal risk of becoming infected,Me feeling sympathy
Social Distancing/ Shelter in Place / Closure of non-essential businesses,My support of government recommendations and regulations
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT My personal risk of becoming infected
Wearing Masks,NOT My personal risk of becoming infected
