Source,Target
Poverty,NOT Me feeling worry
People gathering,Me feeling worry
People gathering,My personal risk of becoming infected
People not following the guidelines and protocols related to the COVID-19,People dying or getting sick
People not following the guidelines and protocols related to the COVID-19,Me feeling worry
People dying or getting sick,Me feeling worry
People recovering,NOT Me feeling worry
People recovering,My support of government recommendations and regulations
Developing a vaccine,NOT People dying or getting sick
Developing a vaccine,My support of government recommendations and regulations
Developing a vaccine,NOT My personal risk of becoming infected
People losing jobs,Poverty
People losing jobs,Me feeling worry
Coordinated,NOT People dying or getting sick
Coordinated,NOT Me feeling worry
