Source,Target
People gathering,NOT People dying or getting sick
People dying or getting sick,NOT Things returning to normal
People dying or getting sick,NOT People recovering
Me feeling worry,NOT Me feeling worry
My support of government recommendations and regulations,My support of government recommendations and regulations
People recovering,Things returning to normal
People recovering,People recovering
My personal risk of becoming infected,NOT Things returning to normal
My personal risk of becoming infected,NOT People recovering
Ignorance of self isolating and government guidelines,NOT My personal risk of becoming infected
Social Distancing/ Shelter in Place / Closure of non-essential businesses,Social Distancing/ Shelter in Place / Closure of non-essential businesses
Not having a timeline when this virus will all be over,NOT Things returning to normal
Not having a timeline when this virus will all be over,NOT People recovering
