Source,Target
Media coverage,NOT People not feeling at risk
Put infected people in quarantine,People dying or getting sick
People dying or getting sick,My support of government recommendations and regulations
People dying or getting sick,NOT My personal risk of becoming infected
People dying or getting sick,Coordinated
Lack of testing,NOT People not feeling at risk
Lack of access to free healthcare for all,NOT People dying or getting sick
Lack of access to free healthcare for all,NOT Me feeling contempt
People losing jobs,Government financial support for families
Economic Downturn / Recession,NOT People losing jobs
Lack of Coordinated,NOT People dying or getting sick
Lack of Coordinated,NOT Economic Downturn / Recession
People not feeling at risk,NOT People dying or getting sick
Lack of access to the proper knowledge about COVID-19,NOT People don't understand situation
Social Distancing/ Shelter in Place / Closure of non-essential businesses,People dying or getting sick
People don't understand situation,NOT People not feeling at risk
Homelessness,NOT People dying or getting sick
Coordinated,People recovering
