Source,Target
Practicing hygiene/handwashing,People recovering
Practicing hygiene/handwashing,NOT My personal risk of becoming infected
People gathering,People dying or getting sick
People gathering,NOT My support of government recommendations and regulations
People breathing,People dying or getting sick
People breathing,People touching things
Media coverage,Me feeling worry
Media coverage,My support of government recommendations and regulations
Infected people don't know they are spreading virus,People dying or getting sick
Infected people don't know they are spreading virus,Me feeling worry
People dying or getting sick,Me feeling worry
Developing a vaccine,NOT People dying or getting sick
Developing a vaccine,People recovering
Developing a vaccine,NOT My personal risk of becoming infected
COVID-19 testing,NOT People dying or getting sick
COVID-19 testing,People recovering
My personal risk of becoming infected,Me feeling worry
Young people not feeling at risk,Me feeling worry
Young people not feeling at risk,NOT People recovering
Young people not feeling at risk,My personal risk of becoming infected
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT People dying or getting sick
Social Distancing/ Shelter in Place / Closure of non-essential businesses,My support of government recommendations and regulations
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT My personal risk of becoming infected
Wearing Masks,NOT People breathing
Wearing Masks,People recovering
Wearing Masks,NOT My personal risk of becoming infected
People don't understand situation,People dying or getting sick
People touching things,Me feeling worry
People touching things,My personal risk of becoming infected
