Source,Target
People dying or getting sick,NOT My support of government recommendations and regulations
Feeling hope,My support of government recommendations and regulations
Feeling hope,People recovering
Mental and emotional health,NOT My support of government recommendations and regulations
Me feeling worry,NOT Mental and emotional health
Me feeling worry,NOT People recovering
People recovering,My support of government recommendations and regulations
My personal risk of becoming infected,Me feeling worry
Working/teaching from home,My personal risk of becoming infected
Social Distancing/ Shelter in Place / Closure of non-essential businesses,People recovering
Social Distancing/ Shelter in Place / Closure of non-essential businesses,Working/teaching from home
