Source,Target
People gathering,Me feeling worry
People breathing,Me feeling worry
People dying or getting sick,People gathering
People dying or getting sick,Me feeling worry
My support of government recommendations and regulations,NOT Me feeling worry
People recovering,NOT Me feeling worry
My personal risk of becoming infected,Me feeling worry
Young people not feeling at risk,Me feeling worry
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT Me feeling worry
Social Distancing/ Shelter in Place / Closure of non-essential businesses,People recovering
