Source,Target
People gathering,Infected people don't know they are spreading virus
People dying or getting sick,Infected people don't know they are spreading virus
My support of government recommendations and regulations,People recovering
My support of government recommendations and regulations,Social Distancing/ Shelter in Place / Closure of non-essential businesses
People recovering,NOT Access to free healthcare for COVID-19 patients
Developing a vaccine,NOT People recovering
COVID-19 testing,People recovering
People losing jobs,Economic Downturn / Recession
Economic Downturn / Recession,Poverty
Economic Downturn / Recession,Homelessness
My personal risk of becoming infected,People gathering
My personal risk of becoming infected,People breathing
Me feeling contempt,NOT Young people not feeling at risk
Me feeling contempt,NOT People don't understand situation
Social Distancing/ Shelter in Place / Closure of non-essential businesses,People losing jobs
Social Distancing/ Shelter in Place / Closure of non-essential businesses,Curbside carryout (restaurants
Social Distancing/ Shelter in Place / Closure of non-essential businesses,Coordinated
Skewed media coverage,Me feeling contempt
