Source,Target
Practicing hygiene/handwashing,NOT People dying or getting sick
Practicing hygiene/handwashing,People recovering
Practicing hygiene/handwashing,NOT My personal risk of becoming infected
People gathering,Infected people don't know they are spreading virus
People gathering,NOT Put infected people in quarantine
People gathering,People dying or getting sick
People gathering,Me feeling sympathy
Infected people don't know they are spreading virus,People dying or getting sick
Infected people don't know they are spreading virus,My personal risk of becoming infected
Put infected people in quarantine,NOT People dying or getting sick
Put infected people in quarantine,NOT My personal risk of becoming infected
My support of government recommendations and regulations,NOT People dying or getting sick
My support of government recommendations and regulations,People recovering
My support of government recommendations and regulations,Social Distancing/ Shelter in Place / Closure of non-essential businesses
My support of government recommendations and regulations,Me feeling sympathy
People recovering,My support of government recommendations and regulations
People recovering,NOT Me feeling sympathy
Returning home or to work from infected areas,Infected people don't know they are spreading virus
Returning home or to work from infected areas,My personal risk of becoming infected
Economic Downturn / Recession,NOT Returning home or to work from infected areas
Economic Downturn / Recession,NOT Coordinated
My personal risk of becoming infected,Practicing hygiene/handwashing
My personal risk of becoming infected,My support of government recommendations and regulations
My personal risk of becoming infected,Social Distancing/ Shelter in Place / Closure of non-essential businesses
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT People gathering
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT Infected people don't know they are spreading virus
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT People dying or getting sick
Social Distancing/ Shelter in Place / Closure of non-essential businesses,Economic Downturn / Recession
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT My personal risk of becoming infected
Social Distancing/ Shelter in Place / Closure of non-essential businesses,Me feeling sympathy
Me feeling sympathy,My support of government recommendations and regulations
Coordinated,My support of government recommendations and regulations
Coordinated,NOT Economic Downturn / Recession
Coordinated,NOT My personal risk of becoming infected
Coordinated,Social Distancing/ Shelter in Place / Closure of non-essential businesses
