Source,Target
Practicing hygiene/handwashing,NOT People dying or getting sick
Practicing hygiene/handwashing,People recovering
Practicing hygiene/handwashing,NOT My personal risk of becoming infected
Government financial support for businesses,NOT People losing jobs
Me feeling worry,People dying or getting sick
My support of government recommendations and regulations,NOT People dying or getting sick
My support of government recommendations and regulations,NOT Me feeling worry
My support of government recommendations and regulations,NOT My personal risk of becoming infected
People losing jobs,Me feeling worry
My personal risk of becoming infected,People losing jobs
Wearing Masks,NOT People dying or getting sick
Wearing Masks,People recovering
Wearing Masks,NOT My personal risk of becoming infected
People don't understand situation,People dying or getting sick
People don't understand situation,My personal risk of becoming infected
