Source,Target
Poverty,People gathering
Poverty,Economic assistance that the government has made available
Poverty,People don't understand situation
Practicing hygiene/handwashing,NOT People dying or getting sick
Practicing hygiene/handwashing,People recovering
People gathering,People breathing
People gathering,Infected people don't know they are spreading virus
People breathing,Infected people don't know they are spreading virus
Media coverage,NOT People don't understand situation
Infected people don't know they are spreading virus,People dying or getting sick
Infected people don't know they are spreading virus,My support of government recommendations and regulations
Infected people don't know they are spreading virus,My personal risk of becoming infected
People dying or getting sick,My support of government recommendations and regulations
People dying or getting sick,Me feeling sympathy
My personal risk of becoming infected,NOT Practicing hygiene/handwashing
My personal risk of becoming infected,NOT Social Distancing/ Shelter in Place / Closure of non-essential businesses
Economic assistance that the government has made available,NOT Poverty
Young people not feeling at risk,People gathering
Young people not feeling at risk,My support of government recommendations and regulations
Social Distancing/ Shelter in Place / Closure of non-essential businesses,People recovering
Social Distancing/ Shelter in Place / Closure of non-essential businesses,Economic assistance that the government has made available
Me feeling sympathy,NOT People recovering
People don't understand situation,Media coverage
People don't understand situation,People dying or getting sick
People don't understand situation,My personal risk of becoming infected
