Source,Target
People gathering,People dying or getting sick
People breathing,People dying or getting sick
Media coverage,NOT My personal risk of becoming infected
Put infected people in quarantine,People dying or getting sick
Put infected people in quarantine,People recovering
People dying or getting sick,Me feeling sympathy
Government financial support for families,People recovering
My support of government recommendations and regulations,NOT My personal risk of becoming infected
Ignorance of self isolating and government guidelines,People dying or getting sick
Ignorance of self isolating and government guidelines,My personal risk of becoming infected
