Source,Target
Timely and reliable information,NOT My support of government recommendations and regulations
Put infected people in quarantine,People dying or getting sick
People dying or getting sick,NOT Coronavirus
Me feeling worry,People recovering
My support of government recommendations and regulations,NOT Coronavirus
People recovering,NOT Coronavirus
Access to free healthcare for COVID-19 patients,My support of government recommendations and regulations
Developing a vaccine,NOT My support of government recommendations and regulations
COVID-19 testing,Access to free healthcare for COVID-19 patients
COVID-19 testing,Developing a vaccine
People losing jobs,People dying or getting sick
People losing jobs,NOT Me feeling worry
People losing jobs,NOT Curbside carryout (restaurants
My personal risk of becoming infected,NOT Coronavirus
Curbside carryout (restaurants,People recovering
Young people not feeling at risk,NOT My personal risk of becoming infected
Wearing Masks,NOT People dying or getting sick
Wearing Masks,NOT My personal risk of becoming infected
