Source,Target
Practicing hygiene/handwashing,NOT My personal risk of becoming infected
Infected people don't know they are spreading virus,People dying or getting sick
Infected people don't know they are spreading virus,NOT People recovering
Infected people don't know they are spreading virus,My personal risk of becoming infected
Infected people don't know they are spreading virus,Me feeling sympathy
People dying or getting sick,NOT Social Distancing/ Shelter in Place / Closure of non-essential businesses
People dying or getting sick,Me feeling sympathy
My support of government recommendations and regulations,Wearing Masks
People recovering,NOT Me feeling sympathy
Developing a vaccine,NOT My personal risk of becoming infected
Developing a vaccine,NOT Me feeling sympathy
My personal risk of becoming infected,People dying or getting sick
Young people not feeling at risk,My personal risk of becoming infected
Young people not feeling at risk,NOT Social Distancing/ Shelter in Place / Closure of non-essential businesses
Social Distancing/ Shelter in Place / Closure of non-essential businesses,People recovering
Social Distancing/ Shelter in Place / Closure of non-essential businesses,Me feeling sympathy
Wearing Masks,NOT People dying or getting sick
Wearing Masks,NOT My personal risk of becoming infected
