Source,Target
Anxiety,My personal risk of becoming infected
Anxiety,Me feeling sympathy
Scared,Anxiety
Scared,Me feeling sympathy
People going to work,Spreading the virus
People going to work,NOT People recovering
People going to work,NOT Economic Downturn / Recession
People going to work,Contracting the virus
People not following the guidelines and protocols related to the COVID-19,NOT People recovering
Government withholds information,People not following the guidelines and protocols related to the COVID-19
Coronavirus,NOT People going to work
Coronavirus,People dying or getting sick
Coronavirus,NOT My support of government recommendations and regulations
Coronavirus,NOT People recovering
Coronavirus,Economic Downturn / Recession
Coronavirus,My personal risk of becoming infected
No real government financial support,NOT My support of government recommendations and regulations
Spreading the virus,Contracting the virus
My support of government recommendations and regulations,NOT Government withholds information
Access to free healthcare for COVID-19 patients,Coronavirus
Access to free healthcare for COVID-19 patients,NOT My support of government recommendations and regulations
Economic Downturn / Recession,People losing jobs
Economic Downturn / Recession,Price gauging
My personal risk of becoming infected,Anxiety
My personal risk of becoming infected,Scared
Me feeling sympathy,NOT My support of government recommendations and regulations
Contracting the virus,Spreading the virus
