Source,Target
Practicing hygiene/handwashing,NOT People dying or getting sick
People gathering,Infected people don't know they are spreading virus
People gathering,People dying or getting sick
Government financial support for businesses,My support of government recommendations and regulations
Government financial support for businesses,NOT People losing jobs
Government financial support for businesses,NOT Economic Downturn / Recession
Infected people don't know they are spreading virus,People dying or getting sick
People dying or getting sick,Me feeling worry
Access to free healthcare for COVID-19 patients,My support of government recommendations and regulations
Access to free healthcare for COVID-19 patients,People recovering
Developing a vaccine,NOT People dying or getting sick
Developing a vaccine,NOT My personal risk of becoming infected
People losing jobs,Me feeling worry
Returning home or to work from infected areas,People dying or getting sick
Economic Downturn / Recession,People losing jobs
My personal risk of becoming infected,Me feeling worry
Young people not feeling at risk,People gathering
Young people not feeling at risk,Infected people don't know they are spreading virus
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT People gathering
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT People dying or getting sick
Social Distancing/ Shelter in Place / Closure of non-essential businesses,My support of government recommendations and regulations
Social Distancing/ Shelter in Place / Closure of non-essential businesses,People losing jobs
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT Returning home or to work from infected areas
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT My personal risk of becoming infected
Wearing Masks,NOT People dying or getting sick
People don't understand situation,NOT Practicing hygiene/handwashing
People don't understand situation,People gathering
People don't understand situation,Infected people don't know they are spreading virus
People don't understand situation,People dying or getting sick
People don't understand situation,Me feeling worry
People don't understand situation,Young people not feeling at risk
People don't understand situation,NOT Social Distancing/ Shelter in Place / Closure of non-essential businesses
