Source,Target
Timely and reliable information,Infected people don't know they are spreading virus
Timely and reliable information,Me feeling worry
Timely and reliable information,My support of government recommendations and regulations
Timely and reliable information,People recovering
Timely and reliable information,Economic Downturn / Recession
Timely and reliable information,People don't understand situation
People gathering,NOT People dying or getting sick
People gathering,NOT People touching things
Government financial support for businesses,People losing jobs
Government financial support for businesses,Economic Downturn / Recession
Media coverage,NOT People losing jobs
Media coverage,NOT Economic Downturn / Recession
Media coverage,NOT Social Distancing/ Shelter in Place / Closure of non-essential businesses
Media coverage,NOT People don't understand situation
Infected people don't know they are spreading virus,NOT People dying or getting sick
Infected people don't know they are spreading virus,NOT My support of government recommendations and regulations
Infected people don't know they are spreading virus,NOT My personal risk of becoming infected
Infected people don't know they are spreading virus,NOT People touching things
People dying or getting sick,NOT Me feeling worry
My support of government recommendations and regulations,Timely and reliable information
My support of government recommendations and regulations,People gathering
My support of government recommendations and regulations,Government financial support for businesses
My support of government recommendations and regulations,NOT Me feeling worry
My support of government recommendations and regulations,NOT People losing jobs
My support of government recommendations and regulations,Economic Downturn / Recession
My support of government recommendations and regulations,My personal risk of becoming infected
People recovering,Me feeling worry
Developing a vaccine,Me feeling worry
Developing a vaccine,People recovering
Developing a vaccine,Economic Downturn / Recession
Developing a vaccine,My personal risk of becoming infected
People losing jobs,NOT Me feeling worry
Returning home or to work from infected areas,NOT Me feeling worry
Returning home or to work from infected areas,NOT My personal risk of becoming infected
Economic Downturn / Recession,NOT My support of government recommendations and regulations
Economic Downturn / Recession,NOT People losing jobs
My personal risk of becoming infected,NOT Me feeling worry
Social Distancing/ Shelter in Place / Closure of non-essential businesses,People gathering
Social Distancing/ Shelter in Place / Closure of non-essential businesses,People dying or getting sick
Social Distancing/ Shelter in Place / Closure of non-essential businesses,Me feeling worry
Social Distancing/ Shelter in Place / Closure of non-essential businesses,People recovering
Social Distancing/ Shelter in Place / Closure of non-essential businesses,My personal risk of becoming infected
Social Distancing/ Shelter in Place / Closure of non-essential businesses,People touching things
People don't understand situation,NOT People gathering
People don't understand situation,NOT People dying or getting sick
People don't understand situation,NOT People touching things
Coordinated,Timely and reliable information
Coordinated,Government financial support for businesses
Coordinated,Me feeling worry
Coordinated,My support of government recommendations and regulations
Coordinated,People losing jobs
Coordinated,Economic Downturn / Recession
Coordinated,People don't understand situation
People touching things,NOT People dying or getting sick
People touching things,NOT People losing jobs
People touching things,NOT My personal risk of becoming infected
