Source,Target
Poverty,People dying or getting sick
Poverty,NOT My support of government recommendations and regulations
Practicing hygiene/handwashing,People dying or getting sick
Practicing hygiene/handwashing,Me feeling worry
Practicing hygiene/handwashing,People recovering
Practicing hygiene/handwashing,My personal risk of becoming infected
Timely and reliable information,NOT My support of government recommendations and regulations
People gathering,People dying or getting sick
People gathering,NOT Me feeling worry
People gathering,NOT People recovering
People gathering,NOT My personal risk of becoming infected
People gathering,Young people not feeling at risk
People gathering,NOT Homelessness
Media coverage,My support of government recommendations and regulations
Infected people don't know they are spreading virus,People dying or getting sick
Infected people don't know they are spreading virus,Me feeling worry
Infected people don't know they are spreading virus,NOT People recovering
Infected people don't know they are spreading virus,Young people not feeling at risk
Government financial support for families,My support of government recommendations and regulations
Curbside carryout (restaurants,Me feeling worry
Curbside carryout (restaurants,People recovering
Curbside carryout (restaurants,My personal risk of becoming infected
Young people not feeling at risk,NOT People dying or getting sick
Young people not feeling at risk,NOT Me feeling worry
Young people not feeling at risk,NOT My personal risk of becoming infected
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT People dying or getting sick
Social Distancing/ Shelter in Place / Closure of non-essential businesses,Me feeling worry
Social Distancing/ Shelter in Place / Closure of non-essential businesses,People recovering
Social Distancing/ Shelter in Place / Closure of non-essential businesses,My personal risk of becoming infected
People don't understand situation,People dying or getting sick
People don't understand situation,NOT Me feeling worry
People don't understand situation,NOT My personal risk of becoming infected
People don't understand situation,NOT Young people not feeling at risk
Homelessness,People dying or getting sick
Homelessness,NOT My support of government recommendations and regulations
People touching things,People dying or getting sick
People touching things,NOT Me feeling worry
People touching things,NOT People recovering
People touching things,NOT My personal risk of becoming infected
