Source,Target
Poverty,People dying or getting sick
Poverty,NOT People recovering
Practicing hygiene/handwashing,My support of government recommendations and regulations
Practicing hygiene/handwashing,People recovering
Practicing hygiene/handwashing,NOT My personal risk of becoming infected
People gathering,Infected people don't know they are spreading virus
People gathering,People dying or getting sick
People gathering,NOT People recovering
People gathering,Me feeling contempt
Infected people don't know they are spreading virus,People dying or getting sick
Infected people don't know they are spreading virus,NOT People recovering
Infected people don't know they are spreading virus,My personal risk of becoming infected
Infected people don't know they are spreading virus,Me feeling contempt
People dying or getting sick,Me feeling contempt
My support of government recommendations and regulations,People recovering
My support of government recommendations and regulations,My personal risk of becoming infected
People recovering,NOT Me feeling contempt
People losing jobs,People dying or getting sick
People losing jobs,Me feeling contempt
Social Distancing/ Shelter in Place / Closure of non-essential businesses,People recovering
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT My personal risk of becoming infected
