Source,Target
Practicing hygiene/handwashing,NOT My personal risk of becoming infected
People breathing,My personal risk of becoming infected
Media coverage,Me feeling worry
Media coverage,Wearing Masks
Media coverage,Coordinated
Put infected people in quarantine,People recovering
People dying or getting sick,My personal risk of becoming infected
My support of government recommendations and regulations,People recovering
My support of government recommendations and regulations,Wearing Masks
People recovering,NOT People dying or getting sick
People losing jobs,Economic Downturn / Recession
Economic Downturn / Recession,Me feeling worry
My personal risk of becoming infected,NOT My support of government recommendations and regulations
Young people not feeling at risk,People dying or getting sick
Young people not feeling at risk,NOT Social Distancing/ Shelter in Place / Closure of non-essential businesses
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT People dying or getting sick
Social Distancing/ Shelter in Place / Closure of non-essential businesses,People losing jobs
Wearing Masks,NOT My personal risk of becoming infected
