Source,Target
Practicing hygiene/handwashing,My support of government recommendations and regulations
Practicing hygiene/handwashing,People recovering
Timely and reliable information,My support of government recommendations and regulations
Infected people don't know they are spreading virus,My personal risk of becoming infected
My support of government recommendations and regulations,Practicing hygiene/handwashing
My support of government recommendations and regulations,NOT People dying or getting sick
My support of government recommendations and regulations,NOT Me feeling worry
My support of government recommendations and regulations,People recovering
My support of government recommendations and regulations,Developing a vaccine
My support of government recommendations and regulations,NOT People losing jobs
My support of government recommendations and regulations,NOT My personal risk of becoming infected
Developing a vaccine,People recovering
COVID-19 testing,People recovering
People losing jobs,Me feeling worry
My personal risk of becoming infected,People dying or getting sick
My personal risk of becoming infected,My support of government recommendations and regulations
