Source,Target
People gathering,People dying or getting sick
People dying or getting sick,COVID-19 testing
People dying or getting sick,My personal risk of becoming infected
People dying or getting sick,Me feeling sympathy
People recovering,NOT Me feeling sympathy
Developing a vaccine,NOT Me feeling sympathy
COVID-19 testing,People recovering
COVID-19 testing,Developing a vaccine
My personal risk of becoming infected,Me feeling sympathy
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT People dying or getting sick
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT My personal risk of becoming infected
