Source,Target
People gathering,People not following the guidelines and protocols related to the COVID-19
People not following the guidelines and protocols related to the COVID-19,People dying or getting sick
Trump ignoring what scientists said about COVID-19,People dying or getting sick
Cancellation of sporting events/concerts,Me feeling worry
Wearing PPE,NOT My personal risk of becoming infected
Infected people don't know they are spreading virus,People dying or getting sick
People dying or getting sick,Me feeling worry
People dying or getting sick,Economic Downturn / Recession
Me feeling worry,NOT People recovering
My support of government recommendations and regulations,Wearing PPE
My support of government recommendations and regulations,Social Distancing/ Shelter in Place / Closure of non-essential businesses
People losing jobs,Me feeling worry
Economic Downturn / Recession,People losing jobs
My personal risk of becoming infected,NOT Me feeling worry
Young people not feeling at risk,People not following the guidelines and protocols related to the COVID-19
Social Distancing/ Shelter in Place / Closure of non-essential businesses,NOT My personal risk of becoming infected
