Source,Target
People gathering,People dying or getting sick
People gathering,NOT People recovering
People dying or getting sick,Me feeling worry
People dying or getting sick,People recovering
People dying or getting sick,Developing a vaccine
People dying or getting sick,My personal risk of becoming infected
My support of government recommendations and regulations,Poverty
My support of government recommendations and regulations,NOT People dying or getting sick
My support of government recommendations and regulations,Me feeling worry
My support of government recommendations and regulations,People recovering
My support of government recommendations and regulations,People losing jobs
My support of government recommendations and regulations,People don't understand situation
Developing a vaccine,People recovering
People losing jobs,Me feeling worry
My personal risk of becoming infected,People dying or getting sick
My personal risk of becoming infected,NOT People don't understand situation
Young people not feeling at risk,My personal risk of becoming infected
Social Distancing/ Shelter in Place / Closure of non-essential businesses,Me feeling worry
Wearing Masks,People recovering
